com.samsung.health.food_info,6212007,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.0,2.0,17.0,,0.0,"89 kcal, per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2019-12-11 21:51:20.209,2019-12-11 21:51:20.209,0.038,1.29,0.086,2.0,Banana,14.43,,1.0,105.0,medium (7" to 7-7/8" long),,im26HRLwRA,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,c7a16d32-775e-4a8e-87fe-3af008219597,1,
111.0,0.0,0.0,,0.0,"1 kcal, per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2019-12-11 21:51:20.222,2019-12-11 21:51:20.222,0.028,0.28,0.002,0.0,Coffee,0.0,,0.0,2.0,mug (8 fl oz),,im26HRLwRA,g,0.005,,com.sec.android.app.shealth,0.09,88.5,b5a68e9e-ff09-45d1-a13d-82a07a2d8921,1,
292.0,20.0,26.0,,0.0,"18 kcal, per 100g",,default-fatsecret-6138,123,6.0,1.5,0.25,2019-12-11 21:51:20.209,2019-12-11 21:51:20.209,0.063,1.08,0.166,2.0,Tomatoes,3.23,,1.0,22.0,medium whole (2-3/5" dia),,im26HRLwRA,g,0.057,,com.sec.android.app.shealth,4.82,5.6875,f80bceba-62b0-4ea7-988f-6280adc601bf,1,
60.0,0.0,0.0,,0.0,"30 kcal, per 175g",,default-fatsecret-2479604,177,6.0,0.0,0.14,2019-12-11 21:51:20.223,2019-12-11 21:51:20.223,0.033,0.31,0.011,0.0,Coffee with Milk and Sugar,6.54,,0.0,30.0,coffee cup (6 fl oz),,im26HRLwRA,g,0.079,,com.sec.android.app.shealth,7.14,5.92,3b40ddd7-97c8-4dd4-8057-1f28e6a004c5,1,
148.0,2.0,10.0,,0.0,"52 kcal, per 100g",,default-fatsecret-35718,138,1.0,3.3,0.23,2019-12-11 21:51:20.209,2019-12-11 21:51:20.209,0.01,0.36,0.07,1.0,Apples,14.34,,1.0,72.0,medium (2-3/4" dia) (approx 3 per lb),,im26HRLwRA,g,0.039,,com.sec.android.app.shealth,19.06,1.9230769,ff789631-1f76-4f28-88ed-f03b3d8fd4da,1,
366.0,10.0,0.0,,12.0,"42 kcal, per 100g",,default-fatsecret-803,244,107.0,0.0,2.37,2019-12-11 21:51:20.223,2019-12-11 21:51:20.223,0.676,8.22,0.085,0.0,1% Fat Milk,12.69,,29.0,102.0,cup,,im26HRLwRA,g,1.545,,com.sec.android.app.shealth,12.18,2.3921568,cd84c272-d2f7-45b5-bda0-ce06b4538f1e,1,
67.0,6.0,0.0,,210.0,"102 kcal, per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2019-12-11 21:51:20.210,2019-12-11 21:51:20.210,2.754,6.24,1.214,5.0,Fried Egg,0.38,,3.0,89.0,large,,im26HRLwRA,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,9f7b0953-728f-4ab2-8a0c-672529fc024f,1,
0.0,0.0,0.0,,0.0,"0 kcal, per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2019-12-11 21:51:20.223,2019-12-11 21:51:20.223,0.0,0.0,0.0,0.0,Water,0.0,,0.0,0.0,cup (8 fl oz),,im26HRLwRA,g,0.0,,com.sec.android.app.shealth,0.0,,a243d000-a185-46c4-914f-34ac56732aa2,1,
204.0,2.0,0.0,,70.0,"197 kcal, per 101g",,default-fatsecret-1641,84,330.0,0.0,6.48,2019-12-11 21:51:20.210,2019-12-11 21:51:20.210,2.524,24.82,1.383,5.0,Chicken Breast,0.0,,1.0,164.0,"small breast (yield after cooking, bone removed)",,im26HRLwRA,g,1.824,,com.sec.android.app.shealth,0.0,0.5121951,874b5e1c-a936-45ba-9557-d8df06dd8dba,1,
55.0,0.0,0.0,,0.0,"206 kcal, per 160g",,default-fatsecret-4501,158,577.0,0.6,0.44,2019-12-11 21:51:20.214,2019-12-11 21:51:20.214,0.138,4.2,0.119,10.0,White Rice,0.08,,2.0,204.0,"cup, cooked",,im26HRLwRA,g,0.12,,com.sec.android.app.shealth,44.08,0.7745098,e3ed2cd6-7584-4c97-8334-1d5ca91f8576,1,
